Title,Description,Category,Award,Due Date
National Cellular Directory Scholarship,"National Cellular Directory Scholarship National Cellular Directory is excited to award three $1,000 USD scholarship's annually to help ease educational expenses. Connections National Cellular Directory's objective is to help people research, reconnect, and communicate with one another. Relationships The relationships that we create and maintain throughout our life impacts us in every aspect possible. From personal connections to gaining access to new clients, our directory helps people make connections that matter. Technology The advancement of technology has helped people across the globe access and communicate with one another.",- None -,"$1,000",3/1/2019
Pusch and Nguyen Scholarship Fund,Pusch & Nguyen understands the value of education as well and the ever increasing expenses of getting a post high school education. This yearly scholarship of $2500.00 is offered in order to help with some of the expenses required of promising students yearning to continue their education at the next level.,Law,"$2,500",3/1/2019
Actuarial Diversity Scholarship,"The Actuarial Diversity Scholarship promotes diversity within the profession through an annual scholarship program for Black/African American, Hispanic, Native North American and Pacific Islander students. The scholarship award recognizes and encourages the academic achievements of full-time undergraduate students pursuing a degree that may lead to a career in the actuarial profession.",- None -,"$4,000",3/1/2019
Elizabeth Miller Watkins Memorial Scholarship Fund,"Awards of $2,000 per semester will be made to each recipient. Recipients may be eligible for subsequent awards of $1,000 per semester for up to a total of eight semesters and/or a maximum award of $10,000. All women who will be enrolled next academic year as full-time undergraduate students at KU, with a 3.0 or higher GPA on a 4.0 scale, and demonstrated financial need are eligible to apply. Selection is based on application contents which include a short essay on the life and influence of Elizabeth Miller Watkins, transcripts, and FAFSFA. The Elizabeth Miller Watkins Memorial Fund Scholarship was established in 1998 by Kitchen 8 (https://kitchen8.wildapricot.org/), an organization dedicated to preserving and carrying forward the legacy of Elizabeth Miller Watkins. The scholarship funds are invested at Greater Kansas City Community Foundation which administers the on-line application and award distribution process.",- None -,"$2,000",3/1/2019
CustomerServ Scholarship,"As an advocate of higher education, CustomerServ is seeking to help a current or prospective business student relieve some financial stress in the upcoming school year. We will be awarding a $5000 scholarship annually to a deserving student who displays a passion for continued education.",Business,"$5,000",3/1/2019
Lulus Scholarship Spring 2019,"No matter how big your dream, Lulus wants to help you achieve it! Lulus believes in supporting higher education for the next generation. We want students to have the opportunities provided by a good education, which is why we're excited to offer the Lulus Scholarship! One scholarship winner will receive $1000 to put toward your pursuit of a degree, and a $500 Lulus shopping spree to help build a wardrobe that makes you look and feel like the confident babe you are!",Business,"$1,000",3/1/2019
"My Passion, My Path","“My Passion, My Path” is our annual scholarship, which seeks to reward those who have chosen to create their own journey and/or career centred around something they are passionate about. This includes assisting in the creation of a project or organization whether that is a club, non-profit (charity) or a for-profit business. The purpose of our scholarship is to reward those who have chosen to chase after their passion and gain intrinsic motivation from an endeavour. Our scholarship cover all fields of undergraduate study and is for students enrolled in any year. This scholarship is not open to students who will be attending a post-secondary institution in the near future. Our application deadline is March 15th, 2017 with the winner being notified in April 2017. We intend to offer this scholarship on a rolling annual basis.",Business,"$4,500",3/15/2019
Dinarys Scholarship Program for College Students,"Dinarys is a team of e-commerce designers, developers, and enthusiasts. We are passionate about e-commerce and focus on delivering only the best results to our clients. We believe the future of retail is online, and that e-commerce makes our lives better. We contribute to that future by creating the best e-commerce web and mobile apps. We’ve found that mobile development scholarships are as popular as web design scholarships for women and college students. So, we decided to be different and create a web development scholarship for American high school and undergraduate students. We’re interested in the fresh vision of the new generation, and how students find new ways to solve old problems. As an e-commerce solutions provider, we are looking for essays on the following topics: Marketplaces Price comparison aggregators Shopping engine algorithms Our customers experience problems in these areas every day. So, to receive a $1,000 USD scholarship from Dinarys, find a most common problem in these spheres, and offer your vision on how it could be solved.","Architecture, Design & Planning","$1,000",3/15/2019
Dinarys Scholarship Program for College Students,"Dinarys is a team of e-commerce designers, developers, and enthusiasts. We are passionate about e-commerce and focus on delivering only the best results to our clients. We believe the future of retail is online, and that e-commerce makes our lives better. We contribute to that future by creating the best e-commerce web and mobile apps. We’ve found that mobile development scholarships are as popular as web design scholarships for women and college students. So, we decided to be different and create a web development scholarship for American high school and undergraduate students. We’re interested in the fresh vision of the new generation, and how students find new ways to solve old problems. As an e-commerce solutions provider, we are looking for essays on the following topics: Marketplaces Price comparison aggregators Shopping engine algorithms Our customers experience problems in these areas every day. So, to receive a $1,000 USD scholarship from Dinarys, find a most common problem in these spheres, and offer your vision on how it could be solved. How will applications be reviewed? The essay must be unique, original work. In selecting winders, we look for a deep understanding of the problem, and a creative approach to solving it. The essay should include: Title From 1,000 – 1,500 words At least 2 research citations. This could be a textbook, an industry blog or journal, or any other reputable source. Who can apply? It’s easy to apply for a scholarship for college through Dinarys. You must be at least 18 years old, you must be a USA high school student or college undergraduate, and studying technical subjects. What is the deadline? Applications are open from March 1, 2018, to March 1, 2019. What is the value of award? One winner will be selected by to March 15, 2019, and will receive an award of $1,000.","Architecture, Design & Planning","$1,000",3/15/2019
Bridesmaid Gifts Boutique Scholarship Program,"Here at Bridesmaid Gifts Boutique we focus on providing brides a one stop shop for their bridal party gifts. We do this by having the best options for personalized bridal gifts, great customer service and high quality content to help during the gift buying journey. This is why we have started the Bridesmaid Gifts Boutique Scholarship Program for Undergraduate or Postgraduate students who are passionate about business and marketing. Our scholarship program should be of a particular interest to the students currently studying in the field of Marketing, Business or IT Communications. This scholarship is a one-time award for $500.",Business,$500,3/15/2019
